"";"Ostreococcus";"Pseudozyma";"Dino-Group-I-Clade-1_X";"Paracalanus";"Bathycoccus";"Gyrodinium";"Guinardia";"Micromonas";"Meira";"Picochlorum";"Plagioselmis";"Rhizosolenia";"Tetraselmis";"Unassigned";"Phragmatopoma";"Chloroparvula";"Phaeocystis";"Pelagomonas";"Pelagostrobilidium";"Saccharina";"Teleaulax";"Oligotrichida_XX";"Thalassiosira";"Strombidiidae_X";"Picozoa_XXXXX";"Dino-Group-III_XX";"Pycnococcaceae_X";"Chaetoceros";"Minutocellus";"Pelagomonadales_clade_B1";"MAST-7B";"Dino-Group-II-Clade-10-and-11_X";"Obelia";"Heterocapsa";"Dino-Group-II-Clade-6_X";"Laboea";"Askenasia";"Detonula";"Dinophyceae_XXX";"Gymnodinium";"Dino-Group-I-Clade-5_X";"MAST-4A";"Aureococcus";"MAST-7A";"Dino-Group-II-Clade-7_X";"MAST-4E";"Kathablepharidida_XX";"Dino-Group-II-Clade-23_X";"Rhodotorula";"Dino-Group-II-Clade-44_X";"Ephelota";"MAST-4B";"MAST-12A";"Thraustochytriaceae_LAB17";"MAST-3E";"Chloropicon";"Crustomastigaceae_X";"Aplanochytrium";"Prasinoderma";"Oithona";"MAST-12_X";"Strombidium";"Prorocentrum";"Dino-Group-II-Clade-13_X";"Pleurobrachia";"Chlorodendrales_XX";"Dino-Group-II-Clade-22_X";"MAST-7C";"Choreotrichida_XX";"Dino-Group-II-Clade-1_X";"Rhodomonas:nucl";"MAST-2B";"Cylindrotheca";"Amphimedon";"Chrysophyceae_Clade-EC2H_XX";"Luciella";"Apicomplexa_XXXX";"Calanus";"Paraphysomonas";"Chrysochromulina";"Telonemia-Group-2_X";"Dino-Group-II-Clade-52_XX";"Pyramimonas";"Pedinellales_X";"Parmales_env_3B";"Haptolina";"Rhinomonas:nucl";"Dino-Group-II-Clade-16_X";"MAST-1B";"Parmales_env_3A";"Plagioselmis:nucl";"Biecheleria";"Rhodomonas";"Dictyocha";"Dino-Group-II-Clade-17_X";"Caecitellus";"Pelagomonadaceae_clade_C";"Florenciella";"Clytia";"Oikopleura";"MAST-4C";"Cryothecomonas";"Dino-Group-II-Clade-3_X";"MAST-2D";"Parmales_env_3_X";"Tintinnidae_X";"Triparma";"Pelagodinium";"MAST-8A";"Dino-Group-II-Clade-32_X";"MAST-11_X";"Helicostomella";"Dino-Group-II-Clade-5_X";"Minorisa";"Florenciellales_X";"Stephanoecidae_Group_H_X";"Dino-Group-II-Clade-12_X";"Islandinium";"Stephanoecidae_Group_D_X";"MAST-12B";"Haptophyta_Clade_HAP3_XXX";"MAST-10_X";"Paraphysomonadales_Clade-EC1Ga_X";"Dino-Group-II-Clade-39_X";"Brockmanniella";"Prymnesiaceae_X";"Bicoecaceae_X";"Urotricha";"Syndinium";"Pleurostomatida_X";"NASSO_1";"MAST-9D";"Karlodinium";"MAST-4D";"Pseudotontonia"
"S29_H2F18";29128;1244;1303;23;1714;2277;16;3889;0;162;907;0;353;1913;122;315;55;143;627;27;595;254;0;1251;225;794;199;11;122;17;1114;342;9;279;564;28;206;0;1558;571;316;91;32;236;939;151;228;73;3;114;0;29;67;18;12;8;266;11;0;0;0;75;158;166;0;0;0;132;66;202;106;35;104;69;199;35;0;11;0;193;92;70;17;160;33;49;62;38;22;0;37;69;27;11;77;12;0;73;0;0;28;14;0;0;0;11;46;70;59;55;55;51;106;85;37;8;0;18;0;32;0;21;15;75;0;34;0;16;0;0;11;0;1;3;0
"S30_H2A18";25169;201;2582;2108;2325;222;0;1491;0;93;732;0;0;2713;613;516;160;867;193;213;928;407;142;69;282;608;35;0;0;689;226;1111;18;550;166;121;22;0;823;655;1162;485;407;202;75;287;28;22;0;39;27;0;69;8;20;39;173;15;64;49;89;38;223;0;0;0;84;29;34;65;0;30;0;0;129;30;0;0;29;61;27;0;0;43;51;0;0;83;49;40;67;0;0;15;0;0;18;30;0;87;5;27;140;14;13;7;0;0;25;0;8;0;11;13;52;12;25;17;34;0;11;27;15;0;0;0;0;8;20;0;8;2;1;18;0
"S31_H3A17";21918;14014;1685;9;687;20;0;1635;1905;129;743;0;12;874;1174;48;502;368;0;6;864;119;0;44;722;355;126;0;13;45;622;271;0;311;15;0;0;33;178;86;364;213;22;71;30;243;0;22;41;23;0;18;92;44;218;28;0;0;25;0;73;119;43;0;0;16;432;63;0;0;0;28;0;0;70;0;0;0;68;189;74;0;17;0;42;37;0;54;206;13;30;0;0;12;0;0;22;26;5;17;0;0;20;0;0;0;0;0;22;0;0;0;0;22;37;0;0;0;6;0;0;9;0;0;12;0;0;0;0;0;6;0;0;13;0
"S32_H3F18";40815;2418;1354;38;2770;2439;26;7082;0;241;746;0;0;1547;24;328;39;134;145;0;840;124;0;1610;237;441;305;13;716;26;1351;303;0;99;524;10;152;0;979;366;134;66;62;201;352;154;203;58;6;64;0;70;41;9;16;15;253;0;0;21;4;15;37;68;0;0;5;95;0;103;73;24;48;0;229;33;0;32;0;300;114;39;27;128;12;112;17;18;25;11;18;42;22;8;58;54;0;57;0;0;67;20;0;0;0;0;152;0;28;47;58;53;67;76;44;5;0;33;0;0;0;20;0;16;19;19;8;0;0;0;0;0;18;20;0
"S33_H3A18";23818;986;4234;5117;1824;147;4;1255;135;108;995;18;0;1412;129;763;123;636;661;128;682;932;102;68;242;459;59;0;0;397;171;751;80;316;111;54;8;0;587;449;750;420;223;128;41;295;45;35;0;32;30;0;68;0;21;36;140;20;81;116;53;68;114;0;119;0;52;0;27;27;0;26;0;0;107;0;27;75;25;57;10;0;0;26;19;0;0;63;42;16;21;0;0;14;0;0;12;18;0;54;0;0;64;0;0;9;7;13;29;0;0;0;7;5;38;0;19;11;25;0;10;18;0;12;0;0;0;0;31;0;9;0;0;10;9
"S34_H4A17";19400;5773;1421;5;498;15;0;1957;140;124;713;0;0;808;162;67;574;702;0;30;960;97;0;24;749;401;177;0;0;94;504;235;0;453;11;0;0;18;203;75;259;128;40;0;36;147;8;6;22;8;0;9;29;25;108;30;24;0;33;23;26;55;0;16;0;0;184;76;0;15;0;18;0;0;40;0;0;0;23;172;76;0;13;0;58;24;0;44;125;13;30;0;0;11;0;0;13;34;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;15;45;11;0;0;0;8;6;0;0;12;0;6;0;0;0;0;0;0;11;5;0
"S35_H4F18";35680;1864;1191;20;2133;2314;7;6128;0;212;494;4;17;980;38;318;41;117;330;12;551;370;25;1393;190;330;261;33;546;35;1519;278;0;147;565;23;74;0;1127;344;96;76;85;280;614;161;88;84;7;68;0;19;21;9;10;0;277;0;0;6;5;0;105;114;0;0;8;157;0;83;62;24;67;26;239;27;0;21;0;225;117;18;10;164;32;48;31;0;0;0;12;39;24;8;95;24;0;46;0;0;55;0;0;0;0;0;99;0;35;82;31;11;26;30;24;0;0;12;5;10;0;20;0;25;18;8;0;0;0;0;0;5;25;0;5
"S36_H4A18";23548;269;3512;443;3999;108;0;2121;0;425;1012;0;0;1488;30;3960;437;1541;108;36;1346;2303;27;291;186;816;59;0;43;1371;298;1430;0;145;163;258;39;0;128;313;389;529;999;106;227;478;14;42;0;127;53;21;118;35;23;57;291;6;121;41;24;0;1;0;0;0;10;51;37;23;0;16;0;0;167;50;0;0;29;155;56;14;13;71;55;0;0;142;46;23;73;0;0;44;0;5;18;33;0;17;9;21;55;11;31;8;17;0;51;0;8;0;6;12;35;30;14;0;35;36;22;18;16;0;8;0;0;0;0;0;0;7;12;9;0
"S39_P1F18";15989;6630;2527;14;2987;147;21;3427;0;2330;490;7;0;5134;156;2178;71;1037;505;238;671;379;13;1047;69;741;107;30;1865;162;45;137;0;55;657;0;1506;0;159;120;275;89;157;0;235;55;199;239;26;352;0;11;0;32;0;12;123;0;0;0;0;238;0;91;0;0;0;0;744;111;40;15;48;24;30;31;0;0;0;58;31;13;0;25;0;0;26;10;0;0;25;0;0;0;8;0;32;12;0;0;70;0;0;0;0;0;13;0;13;0;28;0;0;0;26;0;7;0;9;12;0;10;5;15;13;0;0;0;0;0;0;4;0;0;0
"S40_P1A18";1470;9417;896;1247;173;2080;975;196;223;1387;210;7;0;3225;1196;344;206;41;19;115;263;251;3891;113;279;271;416;9;87;53;494;299;85;238;24;25;37;6549;619;127;182;48;27;85;32;78;25;29;0;35;399;12;576;94;73;50;23;128;311;14;497;31;151;0;8;144;154;0;182;56;0;11;0;52;450;68;6;30;59;69;21;62;31;15;39;0;0;29;8;170;41;18;0;7;0;177;0;0;188;13;0;39;0;28;25;68;0;0;14;0;0;10;7;10;15;0;22;10;9;0;3;0;0;0;9;0;10;0;0;20;10;8;10;0;6
"S41_P2F18";14264;3217;2465;119;2983;623;9;3334;67;2174;974;0;786;2145;0;1400;76;906;557;0;1160;353;0;1816;202;788;267;40;1555;151;83;530;0;206;1229;0;994;0;577;387;139;98;203;0;494;73;367;288;0;367;0;12;0;40;10;11;270;0;0;0;0;0;97;246;0;0;0;24;0;143;64;72;55;6;45;50;0;0;0;148;83;46;18;72;0;32;15;0;0;0;17;28;21;7;77;0;0;0;0;0;137;0;0;0;0;0;12;0;25;18;40;46;15;0;17;17;0;0;13;66;0;15;18;0;20;0;0;11;0;0;0;10;5;5;0
"S42_P3F18";11403;1928;2882;22;1836;937;0;2655;0;778;1253;0;12757;2099;0;654;41;672;1610;0;983;1553;0;1415;213;703;194;47;2707;100;67;690;0;138;855;0;778;0;247;819;103;87;142;0;245;46;159;175;0;223;0;0;0;33;0;0;263;8;0;0;0;0;59;220;0;4;0;26;0;145;59;130;68;9;19;21;0;0;0;135;79;30;0;51;0;24;33;0;0;0;23;29;69;6;82;0;0;16;0;0;118;0;0;0;0;0;11;0;24;7;25;102;19;0;7;5;0;10;16;81;0;14;8;28;8;13;0;0;6;0;0;0;12;1;0
"S43_P4F18";15562;3247;3984;16;3156;816;59;4071;44;1263;546;6;256;6070;0;1435;34;807;417;0;802;1709;0;524;210;742;197;63;2413;134;109;668;0;182;1346;0;2492;0;831;195;297;156;161;0;562;78;375;215;3;329;0;21;0;37;0;7;298;0;0;0;0;23;1;378;0;0;0;30;0;242;51;62;57;5;25;28;0;0;0;108;40;42;0;45;0;0;21;10;0;0;21;0;95;4;189;0;0;29;0;0;198;0;21;0;0;0;6;13;32;0;31;0;31;0;14;12;0;0;6;44;0;29;0;15;21;0;0;0;0;0;0;7;17;1;0
"S44_Q1A17";151;7349;93;19174;40;3754;125;34;2721;10;401;262;0;1159;18;0;21;18;162;312;171;262;4;25;106;24;0;17;52;0;81;38;79;319;0;50;5;195;495;0;16;17;0;0;0;0;117;10;24;0;53;0;392;25;73;0;0;74;7;24;414;27;89;0;210;0;17;0;54;0;0;0;0;0;24;0;0;0;33;7;20;21;8;9;0;17;0;0;0;0;0;0;0;20;0;0;0;0;0;148;0;27;0;18;0;7;0;39;9;0;0;0;0;0;0;18;0;0;0;0;8;0;0;0;3;0;0;10;4;8;0;0;0;0;16
"S45_Q1F18";112;32464;59;8158;11;10409;12;0;1045;0;108;487;81;15;0;27;2;0;0;11;128;5;0;0;16;0;6;9;0;0;0;0;15;534;0;36;0;0;0;0;0;0;2;6;0;0;0;81;0;0;0;0;8;59;33;0;0;0;0;58;0;0;0;0;307;82;0;0;0;0;45;0;77;0;0;0;847;0;0;0;2;7;0;0;0;0;33;0;0;0;0;0;34;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;8;0;3;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0
"S46_Q2A17";1955;3119;378;1888;333;2714;235;315;0;12;351;134;0;1869;28;0;126;56;121;49;221;1563;6;129;1621;45;6;24;136;93;882;54;38;397;0;298;44;746;894;139;85;90;22;215;22;23;32;0;23;0;0;13;927;242;171;0;19;303;0;118;746;0;100;0;55;6;123;0;86;11;0;18;0;0;253;0;0;0;61;77;18;0;132;0;24;25;0;0;0;48;0;29;0;0;0;0;0;0;0;14;0;31;0;32;0;0;0;0;40;0;0;0;0;0;0;13;0;0;0;0;10;0;0;0;21;15;0;19;0;0;16;4;0;0;2
"S47_Q2F18";3731;50513;2645;350;125;144;47;121;865;282;321;227;308;795;0;210;48;24;65;0;246;146;0;58;83;39;55;0;0;21;170;69;45;163;0;597;0;0;63;12;0;20;17;304;39;0;0;618;0;0;0;63;39;179;552;0;0;0;31;0;3;0;0;26;35;44;0;64;0;25;451;0;648;0;0;0;417;7;0;0;0;0;0;0;23;3;315;16;0;0;0;0;316;0;0;14;0;0;88;0;27;29;0;0;0;0;15;25;102;14;0;0;3;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63;0;0;0;0;4;0
"S48_Q3A17";1263;2779;277;853;121;1201;231;133;0;10;543;120;0;1949;0;0;206;81;456;9;233;974;31;136;3427;46;0;15;60;47;1430;13;101;210;0;126;39;436;954;29;62;133;0;390;19;14;48;8;0;0;0;14;566;206;210;0;0;276;0;212;359;46;84;0;23;0;173;0;111;0;0;0;0;0;311;0;0;0;54;96;0;0;9;0;42;34;0;0;12;60;0;31;0;0;0;0;0;0;0;10;0;0;0;51;0;0;17;0;89;0;0;0;9;4;5;24;19;0;0;0;8;0;0;0;7;18;0;0;0;13;26;0;15;0;2
"S49_Q3F18";4649;43251;1163;8316;208;1651;352;131;626;207;2590;369;421;741;28;469;56;127;40;24;693;97;80;105;309;75;36;107;36;57;148;184;46;161;29;214;39;0;172;26;35;36;23;183;52;0;0;360;6;14;0;80;159;154;326;21;0;14;44;0;0;0;0;57;0;25;9;0;22;20;406;18;294;8;12;0;119;10;0;0;6;0;0;0;0;0;200;0;0;0;23;0;108;3;0;6;0;0;36;0;0;51;0;0;17;0;0;0;50;0;0;0;7;5;0;9;0;0;6;0;0;0;0;0;13;0;5;0;0;0;10;0;0;0;0
"S50_Q3A18";9968;968;2576;640;2253;8100;0;2530;94;1256;772;0;267;2483;64;77;167;200;686;0;867;1522;1197;909;43;248;166;103;0;213;235;97;13;997;256;628;220;0;717;823;367;275;264;0;212;184;148;28;0;52;0;0;0;0;0;17;261;46;41;0;0;0;164;0;0;0;0;0;49;0;0;0;0;0;50;0;0;0;53;170;67;0;0;8;58;100;0;0;0;0;87;15;0;161;8;0;34;127;0;133;0;0;39;99;0;216;0;0;53;0;0;15;0;0;50;28;0;0;0;0;101;56;0;27;0;58;0;51;0;40;102;92;0;0;0
"S51_Q4A17";1293;3241;371;570;117;931;148;153;949;20;207;81;10;1170;2;0;148;102;90;0;148;471;1;34;4724;65;0;17;89;54;1552;67;1642;94;0;59;8;563;824;14;127;158;8;443;44;19;29;11;0;0;9;27;774;301;215;0;14;451;0;215;534;12;95;0;45;0;220;0;82;6;0;0;0;0;335;0;0;0;83;99;18;14;0;0;92;28;0;0;9;86;0;15;0;0;0;0;0;16;0;18;0;0;0;65;0;5;15;0;60;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;11;11;0;0;5;15;5;0;0;0;7
"S52_Q4F18";710;47503;1295;810;63;2107;76;42;1448;54;259;562;26;318;4;235;15;41;34;14;158;9;36;50;140;0;16;21;0;19;100;42;33;237;0;0;0;0;14;0;7;12;0;234;14;0;0;495;225;0;0;87;55;180;592;15;0;0;0;0;16;0;34;0;0;132;0;20;0;6;235;25;150;0;0;0;295;7;0;21;0;0;0;0;0;0;181;0;0;0;0;0;57;0;0;0;7;0;17;0;0;35;0;0;0;0;0;0;34;0;0;0;13;22;0;0;0;7;0;17;0;0;0;0;0;0;4;0;8;0;0;0;0;0;0
"S53_Q4A18";18693;633;2382;464;3680;2257;0;3344;0;919;438;0;352;2179;0;111;144;13;812;0;596;1396;295;1062;266;455;151;0;0;287;0;252;0;668;353;143;248;0;854;1526;291;56;50;0;261;153;90;80;0;64;0;0;3;0;0;84;260;0;6;0;0;0;288;0;0;0;0;0;190;0;0;0;0;0;88;69;0;0;0;48;5;39;47;71;79;17;0;11;54;0;28;46;0;37;0;0;0;0;0;63;0;0;48;104;0;0;0;0;0;0;0;0;79;0;62;0;0;0;3;7;100;0;15;8;0;13;0;0;0;0;0;0;0;0;0
"S54_L1A17";13447;18828;4400;261;2492;65;14;1735;591;427;344;0;0;415;2619;14;20;18;24;513;296;1323;12;1302;0;70;0;0;102;69;0;170;51;390;497;0;118;0;51;167;449;12;9;0;114;10;46;71;23;80;238;0;10;21;0;0;11;7;10;4;0;333;66;33;0;0;26;0;189;97;0;0;0;36;0;21;0;0;0;0;0;32;0;0;0;0;0;10;0;0;14;0;0;0;0;12;0;0;0;0;0;0;0;10;0;7;0;0;0;0;0;0;31;0;0;0;9;9;0;0;0;0;0;0;28;0;0;27;6;0;3;0;0;0;0
"S55_L1F18";1410;10779;279;8393;93;6071;7;94;0;848;207;11;34;528;115;46;0;20;0;4503;97;60;455;34;0;44;14;223;0;0;27;47;248;71;27;0;8;0;135;129;38;0;17;0;12;0;13;356;0;7;32;12;10;30;0;10;0;19;54;0;3;8;0;7;0;369;0;0;9;126;0;0;0;0;0;0;161;0;0;0;20;12;63;3;0;0;5;0;0;0;0;0;0;6;0;0;44;0;0;0;0;0;0;0;0;0;0;0;11;3;0;9;0;4;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"S56_L1A18";11790;487;1850;185;2316;3702;0;728;0;1660;431;0;8696;578;9;455;0;0;210;0;540;3507;37;426;0;7;0;0;392;0;0;0;0;681;13;69;0;0;10;433;0;0;0;0;0;140;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0
"S57_L2A17";10969;5281;3068;448;2025;628;0;1307;300;170;566;0;0;490;902;13;44;13;42;3608;575;1065;26;442;0;72;14;0;342;49;11;70;6460;750;336;30;90;0;93;342;753;15;0;0;41;0;0;22;11;41;956;0;5;0;0;0;19;0;10;5;0;146;109;23;4;0;0;0;78;83;0;0;0;23;0;0;0;0;0;0;0;33;13;0;0;0;0;0;0;0;47;0;0;9;6;13;0;0;476;0;0;0;0;27;0;0;0;0;0;0;0;0;22;0;0;0;9;0;9;0;11;0;0;0;22;0;0;22;0;0;8;3;0;0;0
"S58_L2F18";12259;11704;3003;2134;1168;2180;44;1075;113;4385;651;211;5138;1238;139;246;0;92;9;290;458;191;38;191;251;649;98;175;58;11;226;498;303;185;494;7;40;0;515;448;266;24;106;79;291;19;0;990;0;40;42;0;123;189;34;71;0;0;16;16;0;14;69;127;39;516;0;0;19;262;194;14;127;62;0;25;36;9;0;19;35;0;213;0;0;28;102;0;0;0;21;0;111;14;78;4;131;18;46;0;7;0;0;9;0;0;0;0;55;14;0;20;0;15;6;13;17;15;0;0;0;9;0;0;18;12;0;0;8;0;0;0;9;0;1
"S59_L2A18";16564;453;1578;1640;4364;3681;0;1727;114;774;1134;0;218;1063;49;76;10;0;675;0;502;3999;6;606;26;0;28;0;222;139;19;11;0;1399;41;536;429;0;161;618;0;0;0;0;0;0;0;0;0;0;0;0;265;5;0;0;0;0;0;120;35;0;111;0;0;0;0;0;9;0;0;0;0;0;44;0;0;0;0;38;0;0;0;0;70;33;0;0;8;36;11;0;0;0;132;0;0;0;0;0;0;8;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0
"S60_L3A17";12894;4725;994;45;3176;1378;17;1799;86;78;362;0;0;1146;1416;0;23;0;480;1312;486;349;0;4182;0;143;7;6;149;42;10;149;135;1545;407;603;424;11;387;965;1210;0;6;0;46;0;43;47;30;25;680;5;34;0;0;0;14;20;0;0;0;0;72;32;0;0;4;0;119;77;0;11;0;0;4;0;0;0;0;0;9;34;134;0;0;0;0;0;0;0;43;0;0;14;51;0;0;0;24;0;0;0;0;45;0;18;4;92;0;0;0;0;13;0;0;11;0;0;10;0;0;0;0;0;13;18;0;19;0;0;0;4;0;0;0
"S61_L3F18";5580;14461;2791;6078;514;32;3;398;666;1029;203;35;0;316;174;97;15;55;0;245;166;12;21;24;58;134;38;43;12;0;44;396;34;0;390;0;10;0;18;62;48;51;44;0;122;21;9;718;13;44;52;9;122;125;0;29;19;55;10;0;33;0;50;25;0;113;0;0;10;188;33;0;23;213;14;0;20;0;22;4;10;0;41;10;0;6;19;0;0;0;8;0;18;6;15;0;47;0;0;0;3;0;0;0;0;0;0;0;26;10;22;0;10;16;0;9;0;4;10;0;0;0;0;8;0;0;0;0;0;0;0;0;0;2;6
"S62_L3A18";18467;164;1848;893;4596;4088;0;1453;74;2103;513;26;3770;1457;0;295;312;0;1715;0;389;2297;859;39;32;0;0;0;210;339;259;0;0;967;0;0;0;0;0;180;385;0;0;0;0;66;0;0;9;0;0;0;0;0;0;0;122;0;27;0;0;0;726;0;0;0;0;0;234;0;0;0;0;0;48;0;0;0;0;0;40;0;0;136;133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;134;0;0;9;107;0;142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"S63_L4A17";14582;13091;1061;0;2891;381;0;1897;3932;139;195;0;0;179;5444;13;21;9;17;3010;327;19;7;319;0;122;6;0;96;25;0;153;122;1399;297;0;43;0;42;313;742;0;0;4;32;0;13;31;25;23;2134;0;20;0;0;0;12;0;6;0;0;17;0;41;0;0;0;0;28;49;0;11;0;0;0;42;0;0;0;32;13;38;42;14;0;0;0;12;0;0;24;0;0;6;7;0;0;0;49;2;0;0;0;38;0;9;0;0;0;0;0;0;0;0;8;0;20;10;9;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0
"S64_L4F18";14111;9684;2706;159;1593;210;28;1740;0;1233;505;170;52;630;326;115;59;318;9;668;328;46;0;96;179;439;43;77;31;14;249;549;27;54;1229;8;17;0;116;167;172;56;159;0;436;67;24;613;4;119;63;0;166;75;21;22;29;28;33;0;27;0;67;157;0;50;0;19;15;168;71;0;27;1085;59;24;40;0;15;23;54;31;104;55;0;18;10;0;0;7;19;0;17;0;50;0;91;0;0;0;7;18;0;20;0;0;18;0;70;11;52;0;22;44;0;20;0;32;19;16;0;0;10;7;2;0;2;0;13;0;0;0;0;0;7
"S65_L4A18";20181;275;2375;775;4905;5290;0;1097;212;1550;998;35;22;504;103;44;76;14;723;0;658;8070;234;340;145;17;32;0;125;44;0;127;0;725;136;1034;46;0;91;115;113;0;0;21;28;12;21;6;18;0;0;0;78;0;0;12;19;18;0;0;24;0;105;0;0;0;0;0;73;49;0;0;0;0;0;0;0;0;0;59;0;0;0;26;25;28;0;0;5;21;33;15;0;39;11;0;0;25;0;0;0;24;5;42;0;28;0;0;0;0;0;0;0;0;9;0;22;0;0;0;4;0;0;0;0;0;0;0;0;10;0;0;0;0;0
